Group,Candidate_Count,MPNN_Score_Mean,MPNN_Score_SD_Across_Candidates,MPNN_Score_Median,MPNN_Score_Min,Best_Sequence_ID,MPNN_Score_Max,Worst_Sequence_ID,Mean_Delta_vs_WT,Median_Delta_vs_WT,Better_Than_WT_Count,Better_Than_WT_Fraction,WT_MPNN_Score
E20,300,1.51760593,0.01538253,1.51794896,1.47676291,PLA_E20_PLL280_GA141,1.56337720,PLA_E20_PLL184_GA270,0.01015311,0.01049614,74,0.24666667,1.50745282
E30,300,1.54517701,0.01766055,1.54542570,1.49426122,PLA_E30_PLL194_GA103,1.59444407,PLA_E30_PLL267_GA173,0.03772419,0.03797288,6,0.02000000,1.50745282
M30,300,1.44987670,0.01262580,1.45035225,1.42167774,PLA_M30_PLL251_GA116,1.48337898,PLA_M30_PLL180_GA295,-0.05757611,-0.05710056,300,1.00000000,1.50745282
ALL,900,1.50421988,0.04288660,1.51566641,1.42167774,PLA_M30_PLL251_GA116,1.59444407,PLA_E30_PLL267_GA173,-0.00323294,0.00821359,380,0.42222222,1.50745282
