Generation,Seed,Elite_Fitness,Best_Fitness,Mean_Fitness,Best_Proxy,Best_Proxy_norm,Best_ESM,Best_ESM_norm,ESM_cache,Fitness_cache
0,42,0.370112273656562,0.4162797496459011,0.3096399432990936,0.5112041401232211,0.6655849149076333,-0.215087890625,0.3094346788194444,300,0
1,42,0.3902263815280453,0.4162797496459011,0.3447251525202117,0.5112041401232211,0.6655849149076333,-0.215087890625,0.3094346788194444,570,0
2,42,0.4171313927699478,0.4502971075840617,0.3713042523470603,0.5237214406993603,0.6827041076219532,0.15624696811040242,0.3506941075678225,838,0
3,42,0.4418167490470018,0.4664184446838273,0.39423882901133833,0.5293939374350037,0.6904620554476963,0.3335977892080943,0.3703997543564549,1107,0
4,42,0.45870049131925505,0.4892881441945486,0.4160826146648011,0.5386158039104213,0.7030742723085215,0.5789896607398987,0.39766551785998877,1377,0
5,42,0.47871578254551544,0.5167862606945508,0.4329625412050141,0.5444792108638822,0.7110933170688688,0.9016062716643015,0.43351180796270017,1645,0
6,42,0.49493351618649867,0.5322779552721354,0.44837377680083346,0.5565343963002466,0.7275805014611157,1.0371917764345804,0.4485768640482867,1915,0
7,42,0.5125906164079537,0.5326731094282894,0.46175213683128097,0.5504155652207101,0.7192121278010127,1.0745503425598144,0.4527278158399794,2183,0
8,42,0.5194106653789402,0.5341687283547739,0.4746379138743914,0.5523615268509773,0.7218735077016215,1.0835144062836966,0.45372382292041075,2452,0
9,42,0.533737865699814,0.5594116344248014,0.4905932217965263,0.5323528027178057,0.6945087254692307,1.5136159300804137,0.501512881120046,2722,0
10,42,0.5444198307220017,0.5847312459951121,0.498913309903967,0.5502904539339016,0.7190410202833348,1.7445292274157207,0.5271699141573023,2990,0
11,42,0.5549799690168196,0.5847312459951121,0.5083654886027875,0.5502904539339016,0.7190410202833348,1.7445292274157207,0.5271699141573023,3258,0
12,42,0.5653496538504849,0.6084276427510141,0.51609845000181,0.5657549838781636,0.7401909692473189,1.9676188111305237,0.5519576456811692,3526,0
13,42,0.5778073273029476,0.6084276427510141,0.5220817510681773,0.5657549838781636,0.7401909692473189,1.9676188111305237,0.5519576456811692,3795,0
14,42,0.585246781834414,0.6125025829063164,0.5297675517531455,0.5633006567490796,0.7368343270662671,2.032957947254181,0.559217549694909,4063,0
15,42,0.5964923113955721,0.6205005974483129,0.5397988314995437,0.56707266165885,0.7419930814300324,2.115891510248184,0.5684323900275761,4332,0
16,42,0.6029874482195884,0.6205005974483129,0.5486959295393828,0.56707266165885,0.7419930814300324,2.115891510248184,0.5684323900275761,4601,0
17,42,0.6093382412028873,0.6396051712781203,0.5530125935916815,0.5656578833305226,0.7400581704080147,2.3689849734306336,0.596553885936737,4868,0
18,42,0.6143941859522762,0.6517973636503329,0.561581317078844,0.5699915413834659,0.7459850655013323,2.502880851427714,0.6114312057141904,5136,0
19,42,0.6194470482298323,0.6517973636503329,0.5670471426179543,0.5699915413834659,0.7459850655013323,2.502880851427714,0.6114312057141904,5404,0
20,42,0.6293270996952153,0.6619603830107268,0.5765829350034547,0.5720455021986308,0.7487941496811512,2.622713204224904,0.6247459115805449,5673,0
21,42,0.6378258371826183,0.6619603830107268,0.58452537555606,0.5720455021986308,0.7487941496811512,2.622713204224904,0.6247459115805449,5941,0
22,42,0.6409478364040658,0.6619603830107268,0.5874103984809054,0.5720455021986308,0.7487941496811512,2.622713204224904,0.6247459115805449,6210,0
23,42,0.6440857096591298,0.6619603830107268,0.5939361811546954,0.5720455021986308,0.7487941496811512,2.622713204224904,0.6247459115805449,6480,0
24,42,0.6476898988383077,0.6727580417837498,0.5953461374803326,0.5636329894399593,0.7372888393906962,2.8059178709983827,0.645101985666487,6750,0
25,42,0.6503331485582179,0.6727580417837498,0.5982143941176936,0.5636329894399593,0.7372888393906962,2.8059178709983827,0.645101985666487,7019,0
26,42,0.6575375722575979,0.6798645987037499,0.6062110575644606,0.5647066826528807,0.7387572679002021,2.8916239500045777,0.654624883333842,7288,0
27,42,0.6582464225963014,0.6798645987037499,0.6084408481287323,0.5647066826528807,0.7387572679002021,2.8916239500045777,0.654624883333842,7556,0
28,42,0.66172938060512,0.6873568996799584,0.609539730235072,0.5660400217384342,0.7405807991496343,2.980919913450877,0.6645466570500974,7826,0
29,42,0.666463775381149,0.6873568996799584,0.6140436711314101,0.5660400217384342,0.7405807991496343,2.980919913450877,0.6645466570500974,8096,0
30,42,0.6695454127290095,0.6873568996799584,0.6144922056926136,0.5660400217384342,0.7405807991496343,2.980919913450877,0.6645466570500974,8365,0
31,42,0.6718012028422644,0.6873568996799584,0.6186253063582083,0.5660400217384342,0.7405807991496343,2.980919913450877,0.6645466570500974,8634,0
32,42,0.6734746475947085,0.6873568996799584,0.6198159664584102,0.5660400217384342,0.7405807991496343,2.980919913450877,0.6645466570500974,8904,0
33,42,0.6759300775247694,0.7003482409387701,0.6228431800727634,0.566908884848908,0.7417690932982081,3.1433680236339567,0.6825964470704396,9173,0
34,42,0.6766823565448606,0.7003482409387701,0.624284584875419,0.566908884848908,0.7417690932982081,3.1433680236339567,0.6825964470704396,9443,0
35,42,0.6777033804848791,0.7003482409387701,0.6244779993368851,0.566908884848908,0.7417690932982081,3.1433680236339567,0.6825964470704396,9712,0
36,42,0.6790853851731031,0.7003482409387701,0.6242854957739633,0.566908884848908,0.7417690932982081,3.1433680236339567,0.6825964470704396,9979,0
37,42,0.6797996053404584,0.7003482409387701,0.6241360114563513,0.566908884848908,0.7417690932982081,3.1433680236339567,0.6825964470704396,10249,0
38,42,0.6842358982564654,0.7111902107125212,0.6260957312899956,0.5602770486006323,0.7326991119477194,3.3177489916483562,0.7019721101831506,10519,0
39,42,0.6867677791161366,0.7111902107125212,0.6328205202930071,0.5602770486006323,0.7326991119477194,3.3177489916483562,0.7019721101831506,10789,0
40,42,0.688491939710454,0.7111902107125212,0.6316137639819346,0.5602770486006323,0.7326991119477194,3.3177489916483562,0.7019721101831506,11058,0
41,42,0.6897272755277261,0.7111902107125212,0.6319723065657198,0.5602770486006323,0.7326991119477194,3.3177489916483562,0.7019721101831506,11327,0
42,42,0.691841700516161,0.7119418715365621,0.6343814312797578,0.5761572350931075,0.7544175304877552,3.2436421593030293,0.6937380177003365,11592,0
43,42,0.6940078415388999,0.7119418715365621,0.6406807070594062,0.5761572350931075,0.7544175304877552,3.2436421593030293,0.6937380177003365,11861,0
44,42,0.6963836367130701,0.7119418715365621,0.6416822120130082,0.5761572350931075,0.7544175304877552,3.2436421593030293,0.6937380177003365,12130,0
45,42,0.6971021667333057,0.7119418715365621,0.6420529191486118,0.5761572350931075,0.7544175304877552,3.2436421593030293,0.6937380177003365,12400,0
46,42,0.6982398920155131,0.7119418715365621,0.6473096047188158,0.5761572350931075,0.7544175304877552,3.2436421593030293,0.6937380177003365,12669,0
47,42,0.7005636239452911,0.7119418715365621,0.6490914725772179,0.5761572350931075,0.7544175304877552,3.2436421593030293,0.6937380177003365,12937,0
48,42,0.7016356975648932,0.7119418715365621,0.6505762964151567,0.5761572350931075,0.7544175304877552,3.2436421593030293,0.6937380177003365,13207,0
49,42,0.701691489622663,0.7119418715365621,0.6517561075000992,0.5761572350931075,0.7544175304877552,3.2436421593030293,0.6937380177003365,13476,0
50,42,0.7043756915059993,0.7186076089866018,0.6550303810219269,0.571326824876273,0.7478112560048334,3.3548258423805235,0.7060917602645026,13744,0
51,42,0.706399681107317,0.7197683208202528,0.654267507900437,0.5690537250483303,0.744702467989659,3.381740319728851,0.7090822577476501,14012,0
52,42,0.7085193077202879,0.7197683208202528,0.6563982511202172,0.5690537250483303,0.744702467989659,3.381740319728851,0.7090822577476501,14281,0
53,42,0.7091995086276061,0.7197683208202528,0.6545350834481058,0.5690537250483303,0.744702467989659,3.381740319728851,0.7090822577476501,14550,0
54,42,0.7117320687224318,0.7292910975638709,0.655961455575875,0.5706740753162596,0.7469185279406566,3.495628360907237,0.7217364845452485,14820,0
55,42,0.7124871623348898,0.7292910975638709,0.6572316835270885,0.5706740753162596,0.7469185279406566,3.495628360907237,0.7217364845452485,15089,0
56,42,0.7140056166942699,0.7292910975638709,0.6598578968281299,0.5706740753162596,0.7469185279406566,3.495628360907237,0.7217364845452485,15357,0
57,42,0.7146710927498784,0.7292910975638709,0.6561981108395878,0.5706740753162596,0.7469185279406566,3.495628360907237,0.7217364845452485,15627,0
58,42,0.7154417759127153,0.7292910975638709,0.6598962146841854,0.5706740753162596,0.7469185279406566,3.495628360907237,0.7217364845452485,15897,0
59,42,0.7167075288988549,0.734554432595668,0.6596622229948017,0.5730183464909385,0.7501246529170317,3.550933329264323,0.7278814810293692,16167,0
60,42,0.717511384808973,0.734554432595668,0.6605783959561923,0.5730183464909385,0.7501246529170317,3.550933329264323,0.7278814810293692,16437,0
61,42,0.7182631784697069,0.734554432595668,0.6653203934143206,0.5730183464909385,0.7501246529170317,3.550933329264323,0.7278814810293692,16707,0
62,42,0.7195322088704945,0.734554432595668,0.6647894687539554,0.5730183464909385,0.7501246529170317,3.550933329264323,0.7278814810293692,16974,0
63,42,0.7202476610889915,0.734554432595668,0.6663837099768115,0.5730183464909385,0.7501246529170317,3.550933329264323,0.7278814810293692,17243,0
64,42,0.7209569549106905,0.734554432595668,0.6687459274682184,0.5730183464909385,0.7501246529170317,3.550933329264323,0.7278814810293692,17512,0
65,42,0.7217910170822998,0.7351472734227571,0.6725525549854894,0.5713566622992763,0.7478520629337224,3.567321272691091,0.7297023636323434,17780,0
66,42,0.7236601188444814,0.7355209813807398,0.6699417907720391,0.5791628671788553,0.7585281607783104,3.5309468547503156,0.7256607616389239,18049,0
67,42,0.7241610046095797,0.7355209813807398,0.6720709380610421,0.5791628671788553,0.7585281607783104,3.5309468547503156,0.7256607616389239,18319,0
