Generation,Seed,Elite_Fitness,Best_Fitness,Mean_Fitness,Best_Proxy_MPNN,Best_Proxy_MPNN_norm,Best_ESM,Best_ESM_norm,Best_ThermoMPNN_ddG,Best_ThermoMPNN_norm,ESM_cache
0,42,0.46581330008345184,0.48260447936732676,0.42566403701139144,0.5302221582546497,0.7481362830551597,-0.3381347477436066,0.30515543768803277,0.5218793153762817,0.6013316797075948,300
1,42,0.47939726378147896,0.4922583027623372,0.4498811762224551,0.5267720583833961,0.742372033257009,-0.08024903138478597,0.3266459140512678,0.5205677489439646,0.6015364636176715,570
2,42,0.4917848787203811,0.5031743747526235,0.4664683221900382,0.5535469411941418,0.7871061333111252,-0.20995939175287884,0.31583671735392677,0.363144987821579,0.6261159647114503,838
3,42,0.5104922767185059,0.5313017068401678,0.48051033197413556,0.5511654490815908,0.7831272585129061,0.21701459089914957,0.3514178825749292,0.12547909319400785,0.6632243795004065,1107
4,42,0.522386683494659,0.5357341518169972,0.4953232542322828,0.558249540299552,0.7949629945486798,0.539855961004893,0.3783213300837411,0.36856547792752586,0.6252696262179691,1376
5,42,0.534704637069952,0.5530581457243811,0.5084060664716586,0.5724880655337997,0.8187519917575217,0.7028767963250478,0.39190639969375396,0.24530484676361083,0.644515158419999,1645
6,42,0.544549840535735,0.5537784969487434,0.5212169054318793,0.5754286098450562,0.8236649022775452,0.6459208289782207,0.3871600690815184,0.20023895700772604,0.6515516065082505,1913
7,42,0.5554773743982596,0.5805511730336778,0.5316809065287845,0.5795555707964094,0.830560016830322,1.1001871506373087,0.4250155958864424,0.06220005253950755,0.6731045724146406,2183
8,42,0.5645552476536154,0.5925265127512717,0.5393561833033105,0.5918984002047689,0.8511817827445632,1.1987569053967795,0.43322974211639825,-0.017727958162625623,0.6855842838138664,2453
9,42,0.575664770736288,0.5925265127512717,0.5507364403806967,0.5918984002047689,0.8511817827445632,1.1987569053967795,0.43322974211639825,-0.017727958162625623,0.6855842838138664,2723
10,42,0.5837981867911561,0.6020508860181052,0.5586839773613803,0.5868965867258222,0.8428250094880458,1.6198364039262136,0.46831970032718445,0.11782085398832957,0.6644201131896793,2990
11,42,0.5904298360684089,0.6052963856649266,0.5658788665668479,0.5946699841876374,0.855812403019333,1.4815836548805237,0.4567986379067103,-0.018993961811065694,0.6857819536923494,3258
12,42,0.596948789813425,0.615574454385585,0.5725881736988541,0.5981673925895591,0.8616556934825459,1.690234398841858,0.47418619990348815,-0.02786715030670166,0.6871673857911059,3528
13,42,0.6020793184077385,0.615574454385585,0.5781671494019819,0.5981673925895591,0.8616556934825459,1.690234398841858,0.47418619990348815,-0.02786715030670166,0.6871673857911059,3796
14,42,0.6057111285270226,0.6197717961838589,0.5821551388231124,0.5932156092330473,0.8533825079869364,1.931421939531962,0.4942851616276635,0.061744425694147745,0.6731757125754662,4063
15,42,0.6113566318740997,0.6217865872329613,0.5853244161450474,0.6006273236250214,0.8657656200075065,1.7933532893657684,0.4827794407804807,-0.051212627689043694,0.690812476137399,4333
16,42,0.6161032645071834,0.6243256417791161,0.5913489105381766,0.5905449781087798,0.8489205545671936,2.0936869303385417,0.5078072441948785,0.0898139178752899,0.6687930292274604,4601
17,42,0.6188444935642193,0.6243256417791161,0.5953593904484196,0.5905449781087798,0.8489205545671936,2.0936869303385417,0.5078072441948785,0.0898139178752899,0.6687930292274604,4870
18,42,0.6215587163422167,0.6283278363795746,0.5984227021703136,0.6002949784012725,0.8652103546643574,2.0222178141276044,0.5018514845106337,0.01035128931204478,0.6812000773046207,5140
19,42,0.6241525956003874,0.6336476564003299,0.6024649867070123,0.592919607979369,0.8528879642837284,2.240618904431661,0.5200515753693051,0.038440899054209374,0.6768142528631057,5408
20,42,0.626290058781412,0.6362492014712273,0.6049289586967933,0.6086973278472618,0.8792485688915987,2.1845744073390962,0.5153812006115913,0.045601036151250204,0.675696291290373,5676
21,42,0.6294904869349303,0.6362492014712273,0.6087115289146262,0.6086973278472618,0.8792485688915987,2.1845744073390962,0.5153812006115913,0.045601036151250204,0.675696291290373,5945
22,42,0.6318652532645392,0.6423379371024323,0.6092014613417631,0.6078119308712443,0.8777692930645956,2.3188222289085387,0.5265685190757116,0.028715606530507407,0.6783327298388577,6215
23,42,0.635109460756703,0.6423379371024323,0.6133045926792889,0.6078119308712443,0.8777692930645956,2.3188222289085387,0.5265685190757116,0.028715606530507407,0.6783327298388577,6484
24,42,0.6371104605271588,0.643320796683193,0.6143792371486977,0.6053804728799724,0.8737069378405689,2.3533121585845946,0.5294426798820496,0.0210673987865448,0.679526897246848,6753
25,42,0.6386371856774823,0.643415243359508,0.6163622376825649,0.6094463373514178,0.8804999755303219,2.195056168238322,0.5162546806865268,-0.09271819392840068,0.6972930263672675,7023
26,42,0.6402701211929295,0.6506755133606243,0.6190493544373677,0.6089405399768864,0.8796549152355921,2.5647033572196962,0.5470586131016414,0.07748894294102987,0.6707174125422841,7288
27,42,0.641644762392127,0.6506755133606243,0.6200672780432829,0.6089405399768864,0.8796549152355921,2.5647033572196962,0.5470586131016414,0.07748894294102987,0.6707174125422841,7557
28,42,0.642891116622495,0.6506755133606243,0.6218535001405601,0.6089405399768864,0.8796549152355921,2.5647033572196962,0.5470586131016414,0.07748894294102987,0.6707174125422841,7826
29,42,0.6450646449869682,0.6549918402111221,0.623745121553862,0.6052090175334519,0.8734204790470691,2.628789271910985,0.5523991059925821,0.01572759250799815,0.6803606380180576,8096
30,42,0.6467247606245522,0.6570088790372378,0.6242639689611247,0.603725581553172,0.870942030344426,2.648193359375,0.55401611328125,-0.020655542612075813,0.6860413877590922,8365
31,42,0.649131760549927,0.6570088790372378,0.6258835361284483,0.603725581553172,0.870942030344426,2.648193359375,0.55401611328125,-0.020655542612075813,0.6860413877590922,8635
32,42,0.6498524864191635,0.6570088790372378,0.6264125738328514,0.603725581553172,0.870942030344426,2.648193359375,0.55401611328125,-0.020655542612075813,0.6860413877590922,8904
33,42,0.6512977819420904,0.6589979588963653,0.6292942281943322,0.608198282472679,0.8784147894918559,2.622839371363322,0.5519032809469434,-0.05376632014910381,0.6912112017484081,9173
34,42,0.6532135543310651,0.6632048413539814,0.6327904927800555,0.6128005344129189,0.886103995835882,2.6683054665724435,0.5556921222143703,-0.0703035295009613,0.6937932702653996,9442
35,42,0.6550439871471417,0.6633775454470657,0.6333121613304384,0.6105255343900559,0.8823030425557045,2.7206743896007537,0.5600561991333962,-0.043635826309521994,0.6896294578974225,9711
36,42,0.6562248319117757,0.663898507990353,0.6346153229823018,0.6088554597552737,0.8795127675678265,2.803039562702179,0.5669199635585149,0.006594980756441751,0.681786575658434,9977
37,42,0.6580442660089466,0.6661732031890377,0.6358545272801119,0.6098431393164396,0.8811629318887276,2.737951656182607,0.5614959713485507,-0.09281902909278868,0.6973087704567226,10246
38,42,0.6598955216051231,0.6661732031890377,0.6380205335658352,0.6098431393164396,0.8811629318887276,2.737951656182607,0.5614959713485507,-0.09281902909278868,0.6973087704567226,10515
39,42,0.6616315366762723,0.6661732031890377,0.6393646268593876,0.6098431393164396,0.8811629318887276,2.737951656182607,0.5614959713485507,-0.09281902909278868,0.6973087704567226,10782
40,42,0.6626501874906195,0.6719903501192317,0.6406181546066876,0.6045162086336128,0.8722629694936996,2.949316390355428,0.5791096991962856,-0.06699287792046865,0.6932763554078298,11051
41,42,0.6643690434798625,0.6719903501192317,0.6421672663205384,0.6045162086336128,0.8722629694936996,2.949316390355428,0.5791096991962856,-0.06699287792046865,0.6932763554078298,11319
42,42,0.6656384413247591,0.6719903501192317,0.642197452121109,0.6045162086336128,0.8722629694936996,2.949316390355428,0.5791096991962856,-0.06699287792046865,0.6932763554078298,11586
43,42,0.666241554247035,0.6719903501192317,0.6441795366032244,0.6045162086336128,0.8722629694936996,2.949316390355428,0.5791096991962856,-0.06699287792046865,0.6932763554078298,11855
44,42,0.6675116187822122,0.6732313939423703,0.6445953168755268,0.6066312869464189,0.8757967337882492,2.9981862545013427,0.5831821878751119,-0.034927995006243405,0.688269844157215,12124
