Generation,Seed,Elite_Fitness,Best_Fitness,Mean_Fitness,Best_Proxy,Best_Proxy_norm,Best_ESM,Best_ESM_norm,ESM_cache,Fitness_cache
0,42,0.3774474499779736,0.42143773854040845,0.30647746359462935,0.5160744819049683,0.6722458014972921,-0.1744628816843033,0.31394856870174404,300,0
1,42,0.4138363479214194,0.45478472326636465,0.35522380659944075,0.5294631400201895,0.6905566998468555,0.18365631401538848,0.3537395904461543,570,0
2,42,0.44312678944630307,0.47519039644220074,0.3876341784308251,0.5196169882877496,0.6770906839134054,0.49795531630516054,0.38866170181168447,838,0
3,42,0.46875726096670667,0.48864792346075403,0.41473007875026485,0.5301475933281894,0.691492787305356,0.6154296934604645,0.40171441038449607,1108,0
4,42,0.49467823376584275,0.5245302180153818,0.4408358906386994,0.5373975722053947,0.701408166809002,1.0385284453630448,0.4487253828181161,1376,0
5,42,0.5252415875423649,0.5575928059522623,0.4642879344356758,0.5472878733864912,0.7149345634064127,1.4114456176757812,0.49016062418619794,1645,0
6,42,0.5438569889172992,0.5777273337659323,0.4845588316376317,0.5518108635319623,0.72112039712306,1.6464584738016128,0.5162731637557347,1914,0
7,42,0.5619792322282513,0.5860439428231269,0.5048417916350642,0.5527313500685749,0.7223792936651184,1.7485305607318877,0.5276145067479876,2184,0
8,42,0.5768249161968676,0.6366601267543122,0.5171100063566588,0.559450135387659,0.7315681902633833,2.3638671815395353,0.5959852423932817,2454,0
9,42,0.589942172832837,0.6366601267543122,0.5287644558477563,0.559450135387659,0.7315681902633833,2.3638671815395353,0.5959852423932817,2723,0
10,42,0.6026487514222818,0.6530854334317691,0.5443433468587165,0.5757735685204095,0.7538928117629705,2.488940441608429,0.6098822712898255,2992,0
11,42,0.6153277401294266,0.6530854334317691,0.5558494025821763,0.5757735685204095,0.7538928117629705,2.488940441608429,0.6098822712898255,3261,0
12,42,0.6223631675381329,0.6530854334317691,0.5634819405113649,0.5757735685204095,0.7538928117629705,2.488940441608429,0.6098822712898255,3531,0
13,42,0.6286370766366265,0.6530854334317691,0.5693628339892018,0.5757735685204095,0.7538928117629705,2.488940441608429,0.6098822712898255,3799,0
14,42,0.6397452286094959,0.6971680608826223,0.5807600536784585,0.5793680684093595,0.7588088027097595,3.036755400896072,0.6707506000995636,4069,0
15,42,0.642658032290827,0.6971680608826223,0.5845362256001586,0.5793680684093595,0.7588088027097595,3.036755400896072,0.6707506000995636,4338,0
16,42,0.6487492138195979,0.6971680608826223,0.591237132762008,0.5793680684093595,0.7588088027097595,3.036755400896072,0.6707506000995636,4608,0
17,42,0.6548811062890169,0.6971680608826223,0.5964344386929077,0.5793680684093595,0.7588088027097595,3.036755400896072,0.6707506000995636,4878,0
18,42,0.6647456727305185,0.6971680608826223,0.6052228908456389,0.5793680684093595,0.7588088027097595,3.036755400896072,0.6707506000995636,5145,0
19,42,0.670339271048684,0.6971680608826223,0.6092786807058652,0.5793680684093595,0.7588088027097595,3.036755400896072,0.6707506000995636,5412,0
20,42,0.6747057360771049,0.6971680608826223,0.6162033639686154,0.5793680684093595,0.7588088027097595,3.036755400896072,0.6707506000995636,5680,0
21,42,0.6829470561046445,0.6971680608826223,0.6267230117028206,0.5793680684093595,0.7588088027097595,3.036755400896072,0.6707506000995636,5948,0
22,42,0.6868528446540211,0.7053371907068613,0.6308279942832024,0.5667176496375558,0.7415075518886215,3.2085204660892486,0.6898356073432499,6218,0
23,42,0.690829296759082,0.7053371907068613,0.6372788620413479,0.5667176496375558,0.7415075518886215,3.2085204660892486,0.6898356073432499,6487,0
24,42,0.6931935190407184,0.7090748845249742,0.6390338891390533,0.5644400456132928,0.738392603742965,3.2685913294553757,0.6965101477172639,6756,0
25,42,0.6966204746552059,0.7090748845249742,0.63790405074106,0.5644400456132928,0.738392603742965,3.2685913294553757,0.6965101477172639,7024,0
26,42,0.6991632478561627,0.7114794165312518,0.6413922905049153,0.5797129570172908,0.7592804870404372,3.2189391911029817,0.6909932434558868,7294,0
27,42,0.7010971318742331,0.7114794165312518,0.6477630678767664,0.5797129570172908,0.7592804870404372,3.2189391911029817,0.6909932434558868,7564,0
28,42,0.7040565302051783,0.7166863402512325,0.6509926754451114,0.588110001553096,0.770764642331331,3.2415893256664274,0.6935099250740475,7830,0
29,42,0.7071473623369955,0.7222667305578023,0.6512075329093482,0.5787568286278267,0.7579728451843274,3.3626769900321962,0.7069641100035774,8100,0
30,42,0.7094839704065221,0.7222667305578023,0.6496906380054279,0.5787568286278267,0.7579728451843274,3.3626769900321962,0.7069641100035774,8369,0
31,42,0.7135988945072835,0.7256934365024353,0.6568936782573793,0.5909575157062846,0.7746590238114812,3.342373663187027,0.7047081847985586,8637,0
32,42,0.7153685474108558,0.7294999578586363,0.6566050490230676,0.5706882065518373,0.7469378544195308,3.4982391625642775,0.7220265736182531,8907,0
33,42,0.7165202768395988,0.7294999578586363,0.6580287436520895,0.5706882065518373,0.7469378544195308,3.4982391625642775,0.7220265736182531,9177,0
34,42,0.7179365055892665,0.7294999578586363,0.6597677536502111,0.5706882065518373,0.7469378544195308,3.4982391625642775,0.7220265736182531,9446,0
35,42,0.7198196037474945,0.734063948721474,0.6635272493346512,0.5787056346835067,0.7579028301684467,3.5146255671977995,0.7238472852442,9716,0
36,42,0.7210318936813306,0.734063948721474,0.6666971953670637,0.5787056346835067,0.7579028301684467,3.5146255671977995,0.7238472852442,9986,0
37,42,0.7231886713653519,0.734063948721474,0.6706571991155195,0.5787056346835067,0.7579028301684467,3.5146255671977995,0.7238472852442,10256,0
38,42,0.724976792929586,0.734063948721474,0.6736230664135752,0.5787056346835067,0.7579028301684467,3.5146255671977995,0.7238472852442,10526,0
39,42,0.7276321869801397,0.750193355940394,0.6800764240655374,0.5830341484738388,0.7638226897493967,3.6991699159145357,0.7443522128793929,10793,0
40,42,0.7293464886457259,0.750193355940394,0.6807443131724562,0.5830341484738388,0.7638226897493967,3.6991699159145357,0.7443522128793929,11063,0
41,42,0.7345519291944629,0.7511635643476525,0.6821633428301749,0.5767419786923962,0.7552172507072864,3.7448364317417147,0.7494262701935238,11331,0
42,42,0.7368008748762133,0.7511635643476525,0.6809217313930082,0.5767419786923962,0.7552172507072864,3.7448364317417147,0.7494262701935238,11600,0
43,42,0.7391379878509604,0.751839536844785,0.6860043840970308,0.5896727973309156,0.7729019883134686,3.6853149473667144,0.742812771929635,11867,0
44,42,0.7403384978770846,0.751839536844785,0.6853789874573994,0.5896727973309156,0.7729019883134686,3.6853149473667144,0.742812771929635,12137,0
45,42,0.7409683662746647,0.751839536844785,0.6879113809255583,0.5896727973309156,0.7729019883134686,3.6853149473667144,0.742812771929635,12406,0
46,42,0.7423055656207452,0.751839536844785,0.6907393145257058,0.5896727973309156,0.7729019883134686,3.6853149473667144,0.742812771929635,12676,0
47,42,0.744911649586687,0.7552685646232942,0.6935490995337132,0.5793744931873068,0.75881758950937,3.783727985620499,0.7537475539578332,12946,0
